instruct.started,instruct.stopped,key_resp_instr.keys,key_resp_instr.rt,key_resp_instr.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,practice.started,practice.stopped,practicetrialskeys.keys,practicetrialskeys.rt,practicetrialskeys.duration,practicetrialss.thisRepN,practicetrialss.thisTrialN,practicetrialss.thisN,practicetrialss.thisIndex,practicetrialss.ran,text,letterColor,corrAns,congruent,RUready.started,RUready.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trials.started,trials.stopped,key_resp_trials.keys,key_resp_trials.corr,key_resp_trials.rt,key_resp_trials.duration,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,thanks.started,thanks.stopped,key_resp.keys,key_resp.rt,key_resp.duration
0.000299995,14.7645,y,13.746,,A07POSTSH,001,2024-11-15_11h36.03.476,strooptdcs_posttest,2024.2.2,MacIntel,57.80346821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,A07POSTSH,001,2024-11-15_11h36.03.476,strooptdcs_posttest,2024.2.2,MacIntel,57.80346821,14.7816,16.5137,y,1.286900002,,0,0,0,0,1,yellow,yellow,y,yes,,,,,,,,,,,,,,,,,,,,,
,,,,,A07POSTSH,001,2024-11-15_11h36.03.476,strooptdcs_posttest,2024.2.2,MacIntel,57.80346821,16.5153,18.7136,b,1.755799995,,0,1,1,1,1,green,blue,b,no,,,,,,,,,,,,,,,,,,,,,
,,,,,A07POSTSH,001,2024-11-15_11h36.03.476,strooptdcs_posttest,2024.2.2,MacIntel,57.80346821,18.7145,21.2308,g,2.093699997,,0,2,2,2,1,green,green,g,yes,,,,,,,,,,,,,,,,,,,,,
,,,,,A07POSTSH,001,2024-11-15_11h36.03.476,strooptdcs_posttest,2024.2.2,MacIntel,57.80346821,21.2321,22.9795,g,1.310200005,,0,3,3,3,1,red,green,g,no,,,,,,,,,,,,,,,,,,,,,
,,,,,A07POSTSH,001,2024-11-15_11h36.03.476,strooptdcs_posttest,2024.2.2,MacIntel,57.80346821,22.981,24.496,y,1.093,,0,4,4,4,1,blue,yellow,y,no,,,,,,,,,,,,,,,,,,,,,
,,,,,A07POSTSH,001,2024-11-15_11h36.03.476,strooptdcs_posttest,2024.2.2,MacIntel,57.80346821,,,,,,,,,,,,,,,24.4964,27.6145,y,1.996599998,,,,,,,,,,,,,,,,,
,,,,,A07POSTSH,001,2024-11-15_11h36.03.476,strooptdcs_posttest,2024.2.2,MacIntel,57.80346821,,,,,,,,,,,red,red,r,yes,,,,,,27.6344,29.4632,r,1,1.418299995,,0,0,0,0,1,,,,,
,,,,,A07POSTSH,001,2024-11-15_11h36.03.476,strooptdcs_posttest,2024.2.2,MacIntel,57.80346821,,,,,,,,,,,blue,blue,b,yes,,,,,,29.4647,30.847,b,1,0.984199997,,0,1,1,1,1,,,,,
,,,,,A07POSTSH,001,2024-11-15_11h36.03.476,strooptdcs_posttest,2024.2.2,MacIntel,57.80346821,,,,,,,,,,,yellow,green,g,no,,,,,,30.8483,32.364,g,1,1.1305,,0,2,2,2,1,,,,,
,,,,,A07POSTSH,001,2024-11-15_11h36.03.476,strooptdcs_posttest,2024.2.2,MacIntel,57.80346821,,,,,,,,,,,blue,green,g,no,,,,,,32.3653,33.514,g,1,0.760699997,,0,3,3,3,1,,,,,
,,,,,A07POSTSH,001,2024-11-15_11h36.03.476,strooptdcs_posttest,2024.2.2,MacIntel,57.80346821,,,,,,,,,,,green,green,g,yes,,,,,,33.5152,34.3135,g,1,0.398900002,,0,4,4,4,1,,,,,
,,,,,A07POSTSH,001,2024-11-15_11h36.03.476,strooptdcs_posttest,2024.2.2,MacIntel,57.80346821,,,,,,,,,,,blue,red,r,no,,,,,,34.3147,36.0143,r,1,1.300800003,,0,5,5,5,1,,,,,
,,,,,A07POSTSH,001,2024-11-15_11h36.03.476,strooptdcs_posttest,2024.2.2,MacIntel,57.80346821,,,,,,,,,,,yellow,green,g,no,,,,,,36.0155,37.4645,g,1,1.050400002,,0,6,6,6,1,,,,,
,,,,,A07POSTSH,001,2024-11-15_11h36.03.476,strooptdcs_posttest,2024.2.2,MacIntel,57.80346821,,,,,,,,,,,blue,green,g,no,,,,,,37.4662,38.331,g,1,0.478299995,,0,7,7,7,1,,,,,
,,,,,A07POSTSH,001,2024-11-15_11h36.03.476,strooptdcs_posttest,2024.2.2,MacIntel,57.80346821,,,,,,,,,,,green,green,g,yes,,,,,,38.332,40.9645,g,1,2.234100006,,0,8,8,8,1,,,,,
,,,,,A07POSTSH,001,2024-11-15_11h36.03.476,strooptdcs_posttest,2024.2.2,MacIntel,57.80346821,,,,,,,,,,,yellow,yellow,y,yes,,,,,,40.9656,43.1309,y,1,1.778400002,,0,9,9,9,1,,,,,
,,,,,A07POSTSH,001,2024-11-15_11h36.03.476,strooptdcs_posttest,2024.2.2,MacIntel,57.80346821,,,,,,,,,,,yellow,yellow,y,yes,,,,,,43.1316,44.0144,y,1,0.496099998,,0,10,10,10,1,,,,,
,,,,,A07POSTSH,001,2024-11-15_11h36.03.476,strooptdcs_posttest,2024.2.2,MacIntel,57.80346821,,,,,,,,,,,green,green,g,yes,,,,,,44.0156,45.7471,g,1,1.345099998,,0,11,11,11,1,,,,,
,,,,,A07POSTSH,001,2024-11-15_11h36.03.476,strooptdcs_posttest,2024.2.2,MacIntel,57.80346821,,,,,,,,,,,yellow,blue,b,no,,,,,,45.7485,47.1635,b,1,1.017400002,,0,12,12,12,1,,,,,
,,,,,A07POSTSH,001,2024-11-15_11h36.03.476,strooptdcs_posttest,2024.2.2,MacIntel,57.80346821,,,,,,,,,,,green,red,r,no,,,,,,47.1646,48.6314,r,1,1.071099998,,0,13,13,13,1,,,,,
,,,,,A07POSTSH,001,2024-11-15_11h36.03.476,strooptdcs_posttest,2024.2.2,MacIntel,57.80346821,,,,,,,,,,,red,red,r,yes,,,,,,48.6328,49.5815,r,1,0.562099998,,0,14,14,14,1,,,,,
