instruct.started,instruct.stopped,key_resp_instr.keys,key_resp_instr.rt,key_resp_instr.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,practice.started,practice.stopped,practicetrialskeys.keys,practicetrialskeys.rt,practicetrialskeys.duration,practicetrialss.thisRepN,practicetrialss.thisTrialN,practicetrialss.thisN,practicetrialss.thisIndex,practicetrialss.ran,text,letterColor,corrAns,congruent,RUready.started,RUready.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trials.started,trials.stopped,key_resp_trials.keys,key_resp_trials.corr,key_resp_trials.rt,key_resp_trials.duration,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,thanks.started,thanks.stopped,key_resp.keys,key_resp.rt,key_resp.duration
0.000199997,14.0777,y,13.0608,,B02POSTSH,002,2024-10-27_15h10.47.489,strooptdcs_posttest,2024.2.2,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,B02POSTSH,002,2024-10-27_15h10.47.489,strooptdcs_posttest,2024.2.2,MacIntel,59.88023952,14.0942,15.2451,y,0.708200005,,0,0,0,0,1,yellow,yellow,y,yes,,,,,,,,,,,,,,,,,,,,,
,,,,,B02POSTSH,002,2024-10-27_15h10.47.489,strooptdcs_posttest,2024.2.2,MacIntel,59.88023952,15.2475,17.1779,b,1.489900002,,0,1,1,1,1,green,blue,b,no,,,,,,,,,,,,,,,,,,,,,
,,,,,B02POSTSH,002,2024-10-27_15h10.47.489,strooptdcs_posttest,2024.2.2,MacIntel,59.88023952,17.1785,18.478,g,0.863300003,,0,2,2,2,1,green,green,g,yes,,,,,,,,,,,,,,,,,,,,,
,,,,,B02POSTSH,002,2024-10-27_15h10.47.489,strooptdcs_posttest,2024.2.2,MacIntel,59.88023952,18.4792,19.8281,g,0.911199997,,0,3,3,3,1,red,green,g,no,,,,,,,,,,,,,,,,,,,,,
,,,,,B02POSTSH,002,2024-10-27_15h10.47.489,strooptdcs_posttest,2024.2.2,MacIntel,59.88023952,19.8302,21.5938,y,1.324,,0,4,4,4,1,blue,yellow,y,no,,,,,,,,,,,,,,,,,,,,,
,,,,,B02POSTSH,002,2024-10-27_15h10.47.489,strooptdcs_posttest,2024.2.2,MacIntel,59.88023952,,,,,,,,,,,,,,,21.5943,24.3122,y,1.595,,,,,,,,,,,,,,,,,
,,,,,B02POSTSH,002,2024-10-27_15h10.47.489,strooptdcs_posttest,2024.2.2,MacIntel,59.88023952,,,,,,,,,,,red,red,r,yes,,,,,,24.3253,25.612,r,1,0.895,,0,0,0,0,1,,,,,
,,,,,B02POSTSH,002,2024-10-27_15h10.47.489,strooptdcs_posttest,2024.2.2,MacIntel,59.88023952,,,,,,,,,,,blue,blue,b,yes,,,,,,25.6133,26.8117,b,1,0.8115,,0,1,1,1,1,,,,,
,,,,,B02POSTSH,002,2024-10-27_15h10.47.489,strooptdcs_posttest,2024.2.2,MacIntel,59.88023952,,,,,,,,,,,yellow,green,g,no,,,,,,26.8129,28.2119,g,1,1.001200005,,0,2,2,2,1,,,,,
,,,,,B02POSTSH,002,2024-10-27_15h10.47.489,strooptdcs_posttest,2024.2.2,MacIntel,59.88023952,,,,,,,,,,,blue,green,g,no,,,,,,28.2131,29.7608,g,1,1.161400002,,0,3,3,3,1,,,,,
,,,,,B02POSTSH,002,2024-10-27_15h10.47.489,strooptdcs_posttest,2024.2.2,MacIntel,59.88023952,,,,,,,,,,,green,green,g,yes,,,,,,29.7618,30.7119,g,1,0.550899994,,0,4,4,4,1,,,,,
,,,,,B02POSTSH,002,2024-10-27_15h10.47.489,strooptdcs_posttest,2024.2.2,MacIntel,59.88023952,,,,,,,,,,,blue,red,r,no,,,,,,30.7132,31.9285,r,1,0.828199997,,0,5,5,5,1,,,,,
,,,,,B02POSTSH,002,2024-10-27_15h10.47.489,strooptdcs_posttest,2024.2.2,MacIntel,59.88023952,,,,,,,,,,,yellow,green,g,no,,,,,,31.9296,33.062,g,1,0.733699997,,0,6,6,6,1,,,,,
,,,,,B02POSTSH,002,2024-10-27_15h10.47.489,strooptdcs_posttest,2024.2.2,MacIntel,59.88023952,,,,,,,,,,,blue,green,g,no,,,,,,33.0635,34.4619,g,1,1.0105,,0,7,7,7,1,,,,,
,,,,,B02POSTSH,002,2024-10-27_15h10.47.489,strooptdcs_posttest,2024.2.2,MacIntel,59.88023952,,,,,,,,,,,green,green,g,yes,,,,,,34.4632,35.5283,g,1,0.671299995,,0,8,8,8,1,,,,,
,,,,,B02POSTSH,002,2024-10-27_15h10.47.489,strooptdcs_posttest,2024.2.2,MacIntel,59.88023952,,,,,,,,,,,yellow,yellow,y,yes,,,,,,35.5296,36.6788,y,1,0.753800003,,0,9,9,9,1,,,,,
,,,,,B02POSTSH,002,2024-10-27_15h10.47.489,strooptdcs_posttest,2024.2.2,MacIntel,59.88023952,,,,,,,,,,,yellow,yellow,y,yes,,,,,,36.6794,37.7453,y,1,0.666099998,,0,10,10,10,1,,,,,
,,,,,B02POSTSH,002,2024-10-27_15h10.47.489,strooptdcs_posttest,2024.2.2,MacIntel,59.88023952,,,,,,,,,,,green,green,g,yes,,,,,,37.7465,38.8288,g,1,0.684100006,,0,11,11,11,1,,,,,
,,,,,B02POSTSH,002,2024-10-27_15h10.47.489,strooptdcs_posttest,2024.2.2,MacIntel,59.88023952,,,,,,,,,,,yellow,blue,b,no,,,,,,38.8303,40.1287,b,1,0.912399994,,0,12,12,12,1,,,,,
,,,,,B02POSTSH,002,2024-10-27_15h10.47.489,strooptdcs_posttest,2024.2.2,MacIntel,59.88023952,,,,,,,,,,,green,red,r,no,,,,,,40.1298,41.1956,r,1,0.667800003,,0,13,13,13,1,,,,,
,,,,,B02POSTSH,002,2024-10-27_15h10.47.489,strooptdcs_posttest,2024.2.2,MacIntel,59.88023952,,,,,,,,,,,red,red,r,yes,,,,,,41.1969,42.1622,r,1,0.578900002,,0,14,14,14,1,,,,,
,,,,,B02POSTSH,002,2024-10-27_15h10.47.489,strooptdcs_posttest,2024.2.2,MacIntel,59.88023952,,,,,,,,,,,blue,blue,b,yes,,,,,,42.1634,43.2455,b,1,0.685100006,,0,15,15,15,1,,,,,
,,,,,B02POSTSH,002,2024-10-27_15h10.47.489,strooptdcs_posttest,2024.2.2,MacIntel,59.88023952,,,,,,,,,,,red,yellow,y,no,,,,,,43.2468,44.3788,y,1,0.745199997,,0,16,16,16,1,,,,,
,,,,,B02POSTSH,002,2024-10-27_15h10.47.489,strooptdcs_posttest,2024.2.2,MacIntel,59.88023952,,,,,,,,,,,red,yellow,y,no,,,,,,44.3792,45.4291,y,1,0.661400002,,0,17,17,17,1,,,,,
,,,,,B02POSTSH,002,2024-10-27_15h10.47.489,strooptdcs_posttest,2024.2.2,MacIntel,59.88023952,,,,,,,,,,,green,yellow,y,no,,,,,,45.4303,46.7455,y,1,0.927899994,,0,18,18,18,1,,,,,
,,,,,B02POSTSH,002,2024-10-27_15h10.47.489,strooptdcs_posttest,2024.2.2,MacIntel,59.88023952,,,,,,,,,,,blue,yellow,y,no,,,,,,46.7466,47.8124,y,1,0.679,,0,19,19,19,1,,,,,
,,,,,B02POSTSH,002,2024-10-27_15h10.47.489,strooptdcs_posttest,2024.2.2,MacIntel,59.88023952,,,,,,,,,,,yellow,yellow,y,yes,,,,,,47.8137,48.8959,y,1,0.695299995,,0,20,20,20,1,,,,,
,,,,,B02POSTSH,002,2024-10-27_15h10.47.489,strooptdcs_posttest,2024.2.2,MacIntel,59.88023952,,,,,,,,,,,red,red,r,yes,,,,,,48.8968,49.8957,r,1,0.612799995,,0,21,21,21,1,,,,,
,,,,,B02POSTSH,002,2024-10-27_15h10.47.489,strooptdcs_posttest,2024.2.2,MacIntel,59.88023952,,,,,,,,,,,green,green,g,yes,,,,,,49.8968,51.1125,g,1,0.818,,0,22,22,22,1,,,,,
,,,,,B02POSTSH,002,2024-10-27_15h10.47.489,strooptdcs_posttest,2024.2.2,MacIntel,59.88023952,,,,,,,,,,,green,green,g,yes,,,,,,51.1129,52.2115,g,1,0.702400002,,0,23,23,23,1,,,,,
,,,,,B02POSTSH,002,2024-10-27_15h10.47.489,strooptdcs_posttest,2024.2.2,MacIntel,59.88023952,,,,,,,,,,,blue,blue,b,yes,,,,,,52.213,53.3791,b,1,0.777199997,,0,24,24,24,1,,,,,
,,,,,B02POSTSH,002,2024-10-27_15h10.47.489,strooptdcs_posttest,2024.2.2,MacIntel,59.88023952,,,,,,,,,,,blue,green,g,no,,,,,,53.3796,54.8126,g,1,1.033,,0,25,25,25,1,,,,,
,,,,,B02POSTSH,002,2024-10-27_15h10.47.489,strooptdcs_posttest,2024.2.2,MacIntel,59.88023952,,,,,,,,,,,yellow,red,r,no,,,,,,54.8138,55.9959,r,1,0.795,,0,26,26,26,1,,,,,
,,,,,B02POSTSH,002,2024-10-27_15h10.47.489,strooptdcs_posttest,2024.2.2,MacIntel,59.88023952,,,,,,,,,,,blue,blue,b,yes,,,,,,55.9971,57.2282,b,1,0.8345,,0,27,27,27,1,,,,,
,,,,,B02POSTSH,002,2024-10-27_15h10.47.489,strooptdcs_posttest,2024.2.2,MacIntel,59.88023952,,,,,,,,,,,yellow,yellow,y,yes,,,,,,57.2294,58.2625,y,1,0.644,,0,28,28,28,1,,,,,
,,,,,B02POSTSH,002,2024-10-27_15h10.47.489,strooptdcs_posttest,2024.2.2,MacIntel,59.88023952,,,,,,,,,,,red,yellow,y,no,,,,,,58.2636,59.2795,y,1,0.617899994,,0,29,29,29,1,,,,,
,,,,,B02POSTSH,002,2024-10-27_15h10.47.489,strooptdcs_posttest,2024.2.2,MacIntel,59.88023952,,,,,,,,,,,yellow,yellow,y,yes,,,,,,59.2805,60.3128,y,1,0.643699997,,0,30,30,30,1,,,,,
,,,,,B02POSTSH,002,2024-10-27_15h10.47.489,strooptdcs_posttest,2024.2.2,MacIntel,59.88023952,,,,,,,,,,,green,blue,b,no,,,,,,60.3144,61.4795,b,1,0.779,,0,31,31,31,1,,,,,
,,,,,B02POSTSH,002,2024-10-27_15h10.47.489,strooptdcs_posttest,2024.2.2,MacIntel,59.88023952,,,,,,,,,,,green,green,g,yes,,,,,,61.48,62.5798,g,1,0.703199997,,0,32,32,32,1,,,,,
,,,,,B02POSTSH,002,2024-10-27_15h10.47.489,strooptdcs_posttest,2024.2.2,MacIntel,59.88023952,,,,,,,,,,,red,green,g,no,,,,,,62.5814,63.5961,g,1,0.626800003,,0,33,33,33,1,,,,,
,,,,,B02POSTSH,002,2024-10-27_15h10.47.489,strooptdcs_posttest,2024.2.2,MacIntel,59.88023952,,,,,,,,,,,blue,yellow,y,no,,,,,,63.5971,64.7295,y,1,0.743900002,,0,34,34,34,1,,,,,
,,,,,B02POSTSH,002,2024-10-27_15h10.47.489,strooptdcs_posttest,2024.2.2,MacIntel,59.88023952,,,,,,,,,,,red,blue,b,no,,,,,,64.7306,66.013,b,1,0.8855,,0,35,35,35,1,,,,,
,,,,,B02POSTSH,002,2024-10-27_15h10.47.489,strooptdcs_posttest,2024.2.2,MacIntel,59.88023952,,,,,,,,,,,red,green,g,no,,,,,,66.0135,67.1963,g,1,0.793900002,,0,36,36,36,1,,,,,
,,,,,B02POSTSH,002,2024-10-27_15h10.47.489,strooptdcs_posttest,2024.2.2,MacIntel,59.88023952,,,,,,,,,,,green,red,r,no,,,,,,67.1974,68.3463,r,1,0.761400002,,0,37,37,37,1,,,,,
,,,,,B02POSTSH,002,2024-10-27_15h10.47.489,strooptdcs_posttest,2024.2.2,MacIntel,59.88023952,,,,,,,,,,,red,red,r,yes,,,,,,68.3476,69.3466,r,1,0.612300003,,0,38,38,38,1,,,,,
,,,,,B02POSTSH,002,2024-10-27_15h10.47.489,strooptdcs_posttest,2024.2.2,MacIntel,59.88023952,,,,,,,,,,,blue,blue,b,yes,,,,,,69.3482,70.5793,b,1,0.838200005,,0,39,39,39,1,,,,,
,,,,,B02POSTSH,002,2024-10-27_15h10.47.489,strooptdcs_posttest,2024.2.2,MacIntel,59.88023952,,,,,,,,,,,green,green,g,yes,,,,,,70.5809,71.7967,g,1,0.828599998,,0,40,40,40,1,,,,,
,,,,,B02POSTSH,002,2024-10-27_15h10.47.489,strooptdcs_posttest,2024.2.2,MacIntel,59.88023952,,,,,,,,,,,green,yellow,y,no,,,,,,71.7973,73.1129,y,1,0.927599998,,0,41,41,41,1,,,,,
,,,,,B02POSTSH,002,2024-10-27_15h10.47.489,strooptdcs_posttest,2024.2.2,MacIntel,59.88023952,,,,,,,,,,,yellow,yellow,y,yes,,,,,,73.1141,74.0632,y,1,0.561300003,,0,42,42,42,1,,,,,
,,,,,B02POSTSH,002,2024-10-27_15h10.47.489,strooptdcs_posttest,2024.2.2,MacIntel,59.88023952,,,,,,,,,,,yellow,yellow,y,yes,,,,,,74.0638,75.0632,y,1,0.613,,0,43,43,43,1,,,,,
,,,,,B02POSTSH,002,2024-10-27_15h10.47.489,strooptdcs_posttest,2024.2.2,MacIntel,59.88023952,,,,,,,,,,,blue,blue,b,yes,,,,,,75.0642,76.296,b,1,0.837599998,,0,44,44,44,1,,,,,
,,,,,B02POSTSH,002,2024-10-27_15h10.47.489,strooptdcs_posttest,2024.2.2,MacIntel,59.88023952,,,,,,,,,,,yellow,red,r,no,,,,,,76.2972,77.3134,r,1,0.616800003,,0,45,45,45,1,,,,,
,,,,,B02POSTSH,002,2024-10-27_15h10.47.489,strooptdcs_posttest,2024.2.2,MacIntel,59.88023952,,,,,,,,,,,green,yellow,y,no,,,,,,77.3148,78.5968,y,1,0.895299995,,0,46,46,46,1,,,,,
,,,,,B02POSTSH,002,2024-10-27_15h10.47.489,strooptdcs_posttest,2024.2.2,MacIntel,59.88023952,,,,,,,,,,,red,red,r,yes,,,,,,78.5982,79.8134,r,1,0.817200005,,0,47,47,47,1,,,,,
,,,,,B02POSTSH,002,2024-10-27_15h10.47.489,strooptdcs_posttest,2024.2.2,MacIntel,59.88023952,,,,,,,,,,,yellow,yellow,y,yes,,,,,,79.8144,80.747,y,1,0.534400002,,0,48,48,48,1,,,,,
,,,,,B02POSTSH,002,2024-10-27_15h10.47.489,strooptdcs_posttest,2024.2.2,MacIntel,59.88023952,,,,,,,,,,,blue,red,r,no,,,,,,80.7483,81.5794,r,1,0.4455,,0,49,49,49,1,,,,,
,,,,,B02POSTSH,002,2024-10-27_15h10.47.489,strooptdcs_posttest,2024.2.2,MacIntel,59.88023952,,,,,,,,,,,blue,blue,b,yes,,,,,,81.5799,82.7469,b,1,0.778099998,,0,50,50,50,1,,,,,
,,,,,B02POSTSH,002,2024-10-27_15h10.47.489,strooptdcs_posttest,2024.2.2,MacIntel,59.88023952,,,,,,,,,,,red,blue,b,no,,,,,,82.748,83.7137,b,1,0.578199997,,0,51,51,51,1,,,,,
,,,,,B02POSTSH,002,2024-10-27_15h10.47.489,strooptdcs_posttest,2024.2.2,MacIntel,59.88023952,,,,,,,,,,,yellow,red,r,no,,,,,,83.7147,85.0127,r,1,0.901100006,,0,52,52,52,1,,,,,
,,,,,B02POSTSH,002,2024-10-27_15h10.47.489,strooptdcs_posttest,2024.2.2,MacIntel,59.88023952,,,,,,,,,,,green,blue,b,no,,,,,,85.0142,86.547,b,1,1.133200005,,0,53,53,53,1,,,,,
,,,,,B02POSTSH,002,2024-10-27_15h10.47.489,strooptdcs_posttest,2024.2.2,MacIntel,59.88023952,,,,,,,,,,,yellow,blue,b,no,,,,,,86.5482,88.0306,b,1,1.087600006,,0,54,54,54,1,,,,,
,,,,,B02POSTSH,002,2024-10-27_15h10.47.489,strooptdcs_posttest,2024.2.2,MacIntel,59.88023952,,,,,,,,,,,blue,blue,b,yes,,,,,,88.0319,89.0304,b,1,0.603899994,,0,55,55,55,1,,,,,
,,,,,B02POSTSH,002,2024-10-27_15h10.47.489,strooptdcs_posttest,2024.2.2,MacIntel,59.88023952,,,,,,,,,,,red,red,r,yes,,,,,,89.0317,89.9971,r,1,0.577099998,,0,56,56,56,1,,,,,
,,,,,B02POSTSH,002,2024-10-27_15h10.47.489,strooptdcs_posttest,2024.2.2,MacIntel,59.88023952,,,,,,,,,,,red,green,g,no,,,,,,89.9976,91.1471,g,1,0.760900002,,0,57,57,57,1,,,,,
,,,,,B02POSTSH,002,2024-10-27_15h10.47.489,strooptdcs_posttest,2024.2.2,MacIntel,59.88023952,,,,,,,,,,,blue,red,r,no,,,,,,91.1482,92.1462,r,1,0.600400002,,0,58,58,58,1,,,,,
,,,,,B02POSTSH,002,2024-10-27_15h10.47.489,strooptdcs_posttest,2024.2.2,MacIntel,59.88023952,,,,,,,,,,,red,blue,b,no,,,,,,92.1474,93.5474,b,1,1.000899994,,0,59,59,59,1,,,,,
,,,,,B02POSTSH,002,2024-10-27_15h10.47.489,strooptdcs_posttest,2024.2.2,MacIntel,59.88023952,,,,,,,,,,,red,red,r,yes,,,,,,93.548,94.5973,r,1,0.654099998,,0,60,60,60,1,,,,,
,,,,,B02POSTSH,002,2024-10-27_15h10.47.489,strooptdcs_posttest,2024.2.2,MacIntel,59.88023952,,,,,,,,,,,red,red,r,yes,,,,,,94.5977,95.5294,r,1,0.5435,,0,61,61,61,1,,,,,
,,,,,B02POSTSH,002,2024-10-27_15h10.47.489,strooptdcs_posttest,2024.2.2,MacIntel,59.88023952,,,,,,,,,,,yellow,blue,b,no,,,,,,95.5304,96.7806,b,1,0.8605,,0,62,62,62,1,,,,,
,,,,,B02POSTSH,002,2024-10-27_15h10.47.489,strooptdcs_posttest,2024.2.2,MacIntel,59.88023952,,,,,,,,,,,blue,blue,b,yes,,,,,,96.7815,97.6976,b,1,0.519800003,,0,63,63,63,1,,,,,
,,,,,B02POSTSH,002,2024-10-27_15h10.47.489,strooptdcs_posttest,2024.2.2,MacIntel,59.88023952,,,,,,,,,,,blue,yellow,y,no,,,,,,97.6984,98.8975,y,1,0.812,,0,64,64,64,1,,,,,
,,,,,B02POSTSH,002,2024-10-27_15h10.47.489,strooptdcs_posttest,2024.2.2,MacIntel,59.88023952,,,,,,,,,,,green,green,g,yes,,,,,,98.8986,100.0141,g,1,0.718099998,,0,65,65,65,1,,,,,
,,,,,B02POSTSH,002,2024-10-27_15h10.47.489,strooptdcs_posttest,2024.2.2,MacIntel,59.88023952,,,,,,,,,,,green,blue,b,no,,,,,,100.0146,101.1632,b,1,0.7515,,0,66,66,66,1,,,,,
,,,,,B02POSTSH,002,2024-10-27_15h10.47.489,strooptdcs_posttest,2024.2.2,MacIntel,59.88023952,,,,,,,,,,,green,green,g,yes,,,,,,101.1639,102.0976,g,1,0.546300003,,0,67,67,67,1,,,,,
,,,,,B02POSTSH,002,2024-10-27_15h10.47.489,strooptdcs_posttest,2024.2.2,MacIntel,59.88023952,,,,,,,,,,,red,red,r,yes,,,,,,102.0987,103.131,r,1,0.645200005,,0,68,68,68,1,,,,,
,,,,,B02POSTSH,002,2024-10-27_15h10.47.489,strooptdcs_posttest,2024.2.2,MacIntel,59.88023952,,,,,,,,,,,yellow,yellow,y,yes,,,,,,103.132,104.1477,y,1,0.617800003,,0,69,69,69,1,,,,,
,,,,,B02POSTSH,002,2024-10-27_15h10.47.489,strooptdcs_posttest,2024.2.2,MacIntel,59.88023952,,,,,,,,,,,yellow,green,g,no,,,,,,104.1483,105.1644,g,1,0.6175,,0,70,70,70,1,,,,,
,,,,,B02POSTSH,002,2024-10-27_15h10.47.489,strooptdcs_posttest,2024.2.2,MacIntel,59.88023952,,,,,,,,,,,green,red,r,no,,,,,,105.1658,106.1977,r,1,0.643199997,,0,71,71,71,1,,,,,
,,,,,B02POSTSH,002,2024-10-27_15h10.47.489,strooptdcs_posttest,2024.2.2,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.1981,108.0979,y,0.977599998,
