instruct.started,instruct.stopped,key_resp_instr.keys,key_resp_instr.rt,key_resp_instr.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,practice.started,practice.stopped,practicetrialskeys.keys,practicetrialskeys.rt,practicetrialskeys.duration,practicetrialss.thisRepN,practicetrialss.thisTrialN,practicetrialss.thisN,practicetrialss.thisIndex,practicetrialss.ran,text,letterColor,corrAns,congruent,RUready.started,RUready.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trials.started,trials.stopped,key_resp_trials.keys,key_resp_trials.corr,key_resp_trials.rt,key_resp_trials.duration,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,thanks.started,thanks.stopped,key_resp.keys,key_resp.rt,key_resp.duration
0.000199997,14.478,y,13.46189999,,B06Postsh,001,2024-11-13_18h57.12.042,strooptdcs_posttest,2024.2.2,MacIntel,63.29113924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,B06Postsh,001,2024-11-13_18h57.12.042,strooptdcs_posttest,2024.2.2,MacIntel,63.29113924,14.5011,16.1941,y,1.262099998,,0,0,0,0,1,yellow,yellow,y,yes,,,,,,,,,,,,,,,,,,,,,
,,,,,B06Postsh,001,2024-11-13_18h57.12.042,strooptdcs_posttest,2024.2.2,MacIntel,63.29113924,16.1958,17.7441,b,1.123299995,,0,1,1,1,1,green,blue,b,no,,,,,,,,,,,,,,,,,,,,,
,,,,,B06Postsh,001,2024-11-13_18h57.12.042,strooptdcs_posttest,2024.2.2,MacIntel,63.29113924,17.7448,19.3104,g,1.1435,,0,2,2,2,1,green,green,g,yes,,,,,,,,,,,,,,,,,,,,,
,,,,,B06Postsh,001,2024-11-13_18h57.12.042,strooptdcs_posttest,2024.2.2,MacIntel,63.29113924,19.3117,21.0107,g,1.255599998,,0,3,3,3,1,red,green,g,no,,,,,,,,,,,,,,,,,,,,,
,,,,,B06Postsh,001,2024-11-13_18h57.12.042,strooptdcs_posttest,2024.2.2,MacIntel,63.29113924,21.0123,22.594,y,1.151199997,,0,4,4,4,1,blue,yellow,y,no,,,,,,,,,,,,,,,,,,,,,
,,,,,B06Postsh,001,2024-11-13_18h57.12.042,strooptdcs_posttest,2024.2.2,MacIntel,63.29113924,,,,,,,,,,,,,,,22.5945,25.8277,y,2.110599998,,,,,,,,,,,,,,,,,
,,,,,B06Postsh,001,2024-11-13_18h57.12.042,strooptdcs_posttest,2024.2.2,MacIntel,63.29113924,,,,,,,,,,,red,red,r,yes,,,,,,25.8461,27.3611,r,1,1.1185,,0,0,0,0,1,,,,,
,,,,,B06Postsh,001,2024-11-13_18h57.12.042,strooptdcs_posttest,2024.2.2,MacIntel,63.29113924,,,,,,,,,,,blue,blue,b,yes,,,,,,27.3626,28.6442,b,1,0.883099998,,0,1,1,1,1,,,,,
,,,,,B06Postsh,001,2024-11-13_18h57.12.042,strooptdcs_posttest,2024.2.2,MacIntel,63.29113924,,,,,,,,,,,yellow,green,g,no,,,,,,28.6454,30.7276,g,1,1.686300003,,0,2,2,2,1,,,,,
,,,,,B06Postsh,001,2024-11-13_18h57.12.042,strooptdcs_posttest,2024.2.2,MacIntel,63.29113924,,,,,,,,,,,blue,green,g,no,,,,,,30.7289,31.8609,g,1,0.744599998,,0,3,3,3,1,,,,,
,,,,,B06Postsh,001,2024-11-13_18h57.12.042,strooptdcs_posttest,2024.2.2,MacIntel,63.29113924,,,,,,,,,,,green,green,g,yes,,,,,,31.8621,32.7611,g,1,0.504100006,,0,4,4,4,1,,,,,
,,,,,B06Postsh,001,2024-11-13_18h57.12.042,strooptdcs_posttest,2024.2.2,MacIntel,63.29113924,,,,,,,,,,,blue,red,r,no,,,,,,32.7628,34.2944,r,1,1.133599998,,0,5,5,5,1,,,,,
,,,,,B06Postsh,001,2024-11-13_18h57.12.042,strooptdcs_posttest,2024.2.2,MacIntel,63.29113924,,,,,,,,,,,yellow,green,g,no,,,,,,34.2957,36.3943,g,1,1.712,,0,6,6,6,1,,,,,
,,,,,B06Postsh,001,2024-11-13_18h57.12.042,strooptdcs_posttest,2024.2.2,MacIntel,63.29113924,,,,,,,,,,,blue,green,g,no,,,,,,36.3952,37.6768,g,1,0.883699997,,0,7,7,7,1,,,,,
,,,,,B06Postsh,001,2024-11-13_18h57.12.042,strooptdcs_posttest,2024.2.2,MacIntel,63.29113924,,,,,,,,,,,green,green,g,yes,,,,,,37.6782,38.5111,g,1,0.433799995,,0,8,8,8,1,,,,,
,,,,,B06Postsh,001,2024-11-13_18h57.12.042,strooptdcs_posttest,2024.2.2,MacIntel,63.29113924,,,,,,,,,,,yellow,yellow,y,yes,,,,,,38.5126,40.1769,y,1,1.266399994,,0,9,9,9,1,,,,,
,,,,,B06Postsh,001,2024-11-13_18h57.12.042,strooptdcs_posttest,2024.2.2,MacIntel,63.29113924,,,,,,,,,,,yellow,yellow,y,yes,,,,,,40.1774,41.1279,y,1,0.562199997,,0,10,10,10,1,,,,,
,,,,,B06Postsh,001,2024-11-13_18h57.12.042,strooptdcs_posttest,2024.2.2,MacIntel,63.29113924,,,,,,,,,,,green,green,g,yes,,,,,,41.129,42.6278,g,1,1.1005,,0,11,11,11,1,,,,,
,,,,,B06Postsh,001,2024-11-13_18h57.12.042,strooptdcs_posttest,2024.2.2,MacIntel,63.29113924,,,,,,,,,,,yellow,blue,b,no,,,,,,42.6288,44.4614,b,1,1.4385,,0,12,12,12,1,,,,,
,,,,,B06Postsh,001,2024-11-13_18h57.12.042,strooptdcs_posttest,2024.2.2,MacIntel,63.29113924,,,,,,,,,,,green,red,r,no,,,,,,44.4628,46.1447,r,1,1.296099998,,0,13,13,13,1,,,,,
,,,,,B06Postsh,001,2024-11-13_18h57.12.042,strooptdcs_posttest,2024.2.2,MacIntel,63.29113924,,,,,,,,,,,red,red,r,yes,,,,,,46.146,47.2438,r,1,0.6995,,0,14,14,14,1,,,,,
,,,,,B06Postsh,001,2024-11-13_18h57.12.042,strooptdcs_posttest,2024.2.2,MacIntel,63.29113924,,,,,,,,,,,blue,blue,b,yes,,,,,,47.2451,48.6449,b,1,1.000600006,,0,15,15,15,1,,,,,
,,,,,B06Postsh,001,2024-11-13_18h57.12.042,strooptdcs_posttest,2024.2.2,MacIntel,63.29113924,,,,,,,,,,,red,yellow,y,no,,,,,,48.6461,50.1115,y,1,1.078800003,,0,16,16,16,1,,,,,
,,,,,B06Postsh,001,2024-11-13_18h57.12.042,strooptdcs_posttest,2024.2.2,MacIntel,63.29113924,,,,,,,,,,,red,yellow,y,no,,,,,,50.1119,50.9783,y,1,0.467599998,,0,17,17,17,1,,,,,
,,,,,B06Postsh,001,2024-11-13_18h57.12.042,strooptdcs_posttest,2024.2.2,MacIntel,63.29113924,,,,,,,,,,,green,yellow,y,no,,,,,,50.9796,51.9783,y,1,0.602600006,,0,18,18,18,1,,,,,
,,,,,B06Postsh,001,2024-11-13_18h57.12.042,strooptdcs_posttest,2024.2.2,MacIntel,63.29113924,,,,,,,,,,,blue,yellow,y,no,,,,,,51.9797,53.1619,y,1,0.796800003,,0,19,19,19,1,,,,,
,,,,,B06Postsh,001,2024-11-13_18h57.12.042,strooptdcs_posttest,2024.2.2,MacIntel,63.29113924,,,,,,,,,,,yellow,yellow,y,yes,,,,,,53.163,53.9284,y,1,0.3785,,0,20,20,20,1,,,,,
,,,,,B06Postsh,001,2024-11-13_18h57.12.042,strooptdcs_posttest,2024.2.2,MacIntel,63.29113924,,,,,,,,,,,red,red,r,yes,,,,,,53.9294,55.4117,r,1,1.096100006,,0,21,21,21,1,,,,,
,,,,,B06Postsh,001,2024-11-13_18h57.12.042,strooptdcs_posttest,2024.2.2,MacIntel,63.29113924,,,,,,,,,,,green,green,g,yes,,,,,,55.4128,56.8617,g,1,1.061900002,,0,22,22,22,1,,,,,
,,,,,B06Postsh,001,2024-11-13_18h57.12.042,strooptdcs_posttest,2024.2.2,MacIntel,63.29113924,,,,,,,,,,,green,green,g,yes,,,,,,56.8624,57.7453,g,1,0.4875,,0,23,23,23,1,,,,,
,,,,,B06Postsh,001,2024-11-13_18h57.12.042,strooptdcs_posttest,2024.2.2,MacIntel,63.29113924,,,,,,,,,,,blue,blue,b,yes,,,,,,57.7465,59.3118,b,1,1.177900002,,0,24,24,24,1,,,,,
,,,,,B06Postsh,001,2024-11-13_18h57.12.042,strooptdcs_posttest,2024.2.2,MacIntel,63.29113924,,,,,,,,,,,blue,green,g,no,,,,,,59.3124,60.5786,b,0,0.878399994,,0,25,25,25,1,,,,,
,,,,,B06Postsh,001,2024-11-13_18h57.12.042,strooptdcs_posttest,2024.2.2,MacIntel,63.29113924,,,,,,,,,,,yellow,red,r,no,,,,,,60.5799,63.6114,r,1,2.645300003,,0,26,26,26,1,,,,,
,,,,,B06Postsh,001,2024-11-13_18h57.12.042,strooptdcs_posttest,2024.2.2,MacIntel,63.29113924,,,,,,,,,,,blue,blue,b,yes,,,,,,63.6126,65.1955,b,1,1.188199997,,0,27,27,27,1,,,,,
,,,,,B06Postsh,001,2024-11-13_18h57.12.042,strooptdcs_posttest,2024.2.2,MacIntel,63.29113924,,,,,,,,,,,yellow,yellow,y,yes,,,,,,65.1968,66.8454,y,1,1.261200005,,0,28,28,28,1,,,,,
,,,,,B06Postsh,001,2024-11-13_18h57.12.042,strooptdcs_posttest,2024.2.2,MacIntel,63.29113924,,,,,,,,,,,red,yellow,y,no,,,,,,66.8465,68.2288,y,1,0.9955,,0,29,29,29,1,,,,,
,,,,,B06Postsh,001,2024-11-13_18h57.12.042,strooptdcs_posttest,2024.2.2,MacIntel,63.29113924,,,,,,,,,,,yellow,yellow,y,yes,,,,,,68.2299,69.0622,y,1,0.435099998,,0,30,30,30,1,,,,,
,,,,,B06Postsh,001,2024-11-13_18h57.12.042,strooptdcs_posttest,2024.2.2,MacIntel,63.29113924,,,,,,,,,,,green,blue,b,no,,,,,,69.0633,70.8455,b,1,1.3825,,0,31,31,31,1,,,,,
