instruct.started,instruct.stopped,key_resp_instr.keys,key_resp_instr.rt,key_resp_instr.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,practice.started,practice.stopped,practicetrialskeys.keys,practicetrialskeys.rt,practicetrialskeys.duration,practicetrialss.thisRepN,practicetrialss.thisTrialN,practicetrialss.thisN,practicetrialss.thisIndex,practicetrialss.ran,text,letterColor,corrAns,congruent,RUready.started,RUready.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trials.started,trials.stopped,key_resp_trials.keys,key_resp_trials.corr,key_resp_trials.rt,key_resp_trials.duration,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,thanks.started,thanks.stopped,key_resp.keys,key_resp.rt,key_resp.duration
0.000199997,50.797,y,49.7737,,A05PRESH,001,2024-10-20_11h57.59.848,strooptdcs,2024.2.1,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,A05PRESH,001,2024-10-20_11h57.59.848,strooptdcs,2024.2.1,MacIntel,59.88023952,50.8212,53.9467,y,2.683399994,,0,0,0,0,1,yellow,yellow,y,yes,,,,,,,,,,,,,,,,,,,,,
,,,,,A05PRESH,001,2024-10-20_11h57.59.848,strooptdcs,2024.2.1,MacIntel,59.88023952,53.9489,56.0129,b,1.632900002,,0,1,1,1,1,green,blue,b,no,,,,,,,,,,,,,,,,,,,,,
,,,,,A05PRESH,001,2024-10-20_11h57.59.848,strooptdcs,2024.2.1,MacIntel,59.88023952,56.0137,58.6954,g,2.246300003,,0,2,2,2,1,green,green,g,yes,,,,,,,,,,,,,,,,,,,,,
,,,,,A05PRESH,001,2024-10-20_11h57.59.848,strooptdcs,2024.2.1,MacIntel,59.88023952,58.6967,61.346,g,2.222800003,,0,3,3,3,1,red,green,g,no,,,,,,,,,,,,,,,,,,,,,
,,,,,A05PRESH,001,2024-10-20_11h57.59.848,strooptdcs,2024.2.1,MacIntel,59.88023952,61.3468,63.5799,y,1.804800003,,0,4,4,4,1,blue,yellow,y,no,,,,,,,,,,,,,,,,,,,,,
,,,,,A05PRESH,001,2024-10-20_11h57.59.848,strooptdcs,2024.2.1,MacIntel,59.88023952,,,,,,,,,,,,,,,63.5805,67.8298,y,3.128700005,,,,,,,,,,,,,,,,,
,,,,,A05PRESH,001,2024-10-20_11h57.59.848,strooptdcs,2024.2.1,MacIntel,59.88023952,,,,,,,,,,,red,red,r,yes,,,,,,67.8448,69.6795,r,1,1.437699997,,0,0,0,0,1,,,,,
,,,,,A05PRESH,001,2024-10-20_11h57.59.848,strooptdcs,2024.2.1,MacIntel,59.88023952,,,,,,,,,,,blue,blue,b,yes,,,,,,69.6812,72.3308,b,1,2.264,,0,1,1,1,1,,,,,
,,,,,A05PRESH,001,2024-10-20_11h57.59.848,strooptdcs,2024.2.1,MacIntel,59.88023952,,,,,,,,,,,yellow,green,g,no,,,,,,72.3319,74.1636,g,1,1.434200005,,0,2,2,2,1,,,,,
,,,,,A05PRESH,001,2024-10-20_11h57.59.848,strooptdcs,2024.2.1,MacIntel,59.88023952,,,,,,,,,,,blue,green,g,no,,,,,,74.1646,76.1805,g,1,1.618599998,,0,3,3,3,1,,,,,
,,,,,A05PRESH,001,2024-10-20_11h57.59.848,strooptdcs,2024.2.1,MacIntel,59.88023952,,,,,,,,,,,green,green,g,yes,,,,,,76.1818,77.5471,g,1,0.972099998,,0,4,4,4,1,,,,,
,,,,,A05PRESH,001,2024-10-20_11h57.59.848,strooptdcs,2024.2.1,MacIntel,59.88023952,,,,,,,,,,,blue,red,r,no,,,,,,77.5485,79.2638,r,1,1.319,,0,5,5,5,1,,,,,
,,,,,A05PRESH,001,2024-10-20_11h57.59.848,strooptdcs,2024.2.1,MacIntel,59.88023952,,,,,,,,,,,yellow,green,g,no,,,,,,79.2652,82.4972,g,1,2.845800003,,0,6,6,6,1,,,,,
,,,,,A05PRESH,001,2024-10-20_11h57.59.848,strooptdcs,2024.2.1,MacIntel,59.88023952,,,,,,,,,,,blue,green,g,no,,,,,,82.4984,86.3306,g,1,3.445200005,,0,7,7,7,1,,,,,
,,,,,A05PRESH,001,2024-10-20_11h57.59.848,strooptdcs,2024.2.1,MacIntel,59.88023952,,,,,,,,,,,green,green,g,yes,,,,,,86.3317,87.764,g,1,1.045700005,,0,8,8,8,1,,,,,
,,,,,A05PRESH,001,2024-10-20_11h57.59.848,strooptdcs,2024.2.1,MacIntel,59.88023952,,,,,,,,,,,yellow,yellow,y,yes,,,,,,87.7652,89.5476,y,1,1.395300003,,0,9,9,9,1,,,,,
,,,,,A05PRESH,001,2024-10-20_11h57.59.848,strooptdcs,2024.2.1,MacIntel,59.88023952,,,,,,,,,,,yellow,yellow,y,yes,,,,,,89.5481,90.4308,y,1,0.485099998,,0,10,10,10,1,,,,,
,,,,,A05PRESH,001,2024-10-20_11h57.59.848,strooptdcs,2024.2.1,MacIntel,59.88023952,,,,,,,,,,,green,green,g,yes,,,,,,90.4325,92.014,g,1,1.193300003,,0,11,11,11,1,,,,,
,,,,,A05PRESH,001,2024-10-20_11h57.59.848,strooptdcs,2024.2.1,MacIntel,59.88023952,,,,,,,,,,,yellow,blue,b,no,,,,,,92.0152,94.481,b,1,2.079400002,,0,12,12,12,1,,,,,
,,,,,A05PRESH,001,2024-10-20_11h57.59.848,strooptdcs,2024.2.1,MacIntel,59.88023952,,,,,,,,,,,green,red,r,no,,,,,,94.4823,96.5812,r,1,1.703199997,,0,13,13,13,1,,,,,
,,,,,A05PRESH,001,2024-10-20_11h57.59.848,strooptdcs,2024.2.1,MacIntel,59.88023952,,,,,,,,,,,red,red,r,yes,,,,,,96.5823,98.831,r,1,1.861700005,,0,14,14,14,1,,,,,
,,,,,A05PRESH,001,2024-10-20_11h57.59.848,strooptdcs,2024.2.1,MacIntel,59.88023952,,,,,,,,,,,blue,blue,b,yes,,,,,,98.8322,100.4146,b,1,1.183800003,,0,15,15,15,1,,,,,
,,,,,A05PRESH,001,2024-10-20_11h57.59.848,strooptdcs,2024.2.1,MacIntel,59.88023952,,,,,,,,,,,red,yellow,y,no,,,,,,100.4158,101.9471,y,1,1.133099998,,0,16,16,16,1,,,,,
,,,,,A05PRESH,001,2024-10-20_11h57.59.848,strooptdcs,2024.2.1,MacIntel,59.88023952,,,,,,,,,,,red,yellow,y,no,,,,,,101.9476,102.9813,y,1,0.646700005,,0,17,17,17,1,,,,,
,,,,,A05PRESH,001,2024-10-20_11h57.59.848,strooptdcs,2024.2.1,MacIntel,59.88023952,,,,,,,,,,,green,yellow,y,no,,,,,,102.9821,104.0314,y,1,0.662,,0,18,18,18,1,,,,,
,,,,,A05PRESH,001,2024-10-20_11h57.59.848,strooptdcs,2024.2.1,MacIntel,59.88023952,,,,,,,,,,,blue,yellow,y,no,,,,,,104.0324,105.1815,y,1,0.752799995,,0,19,19,19,1,,,,,
,,,,,A05PRESH,001,2024-10-20_11h57.59.848,strooptdcs,2024.2.1,MacIntel,59.88023952,,,,,,,,,,,yellow,yellow,y,yes,,,,,,105.1826,106.2649,y,1,0.696099998,,0,20,20,20,1,,,,,
,,,,,A05PRESH,001,2024-10-20_11h57.59.848,strooptdcs,2024.2.1,MacIntel,59.88023952,,,,,,,,,,,red,red,r,yes,,,,,,106.2658,107.5815,r,1,0.9285,,0,21,21,21,1,,,,,
,,,,,A05PRESH,001,2024-10-20_11h57.59.848,strooptdcs,2024.2.1,MacIntel,59.88023952,,,,,,,,,,,green,green,g,yes,,,,,,107.5827,108.865,g,1,0.882300003,,0,22,22,22,1,,,,,
,,,,,A05PRESH,001,2024-10-20_11h57.59.848,strooptdcs,2024.2.1,MacIntel,59.88023952,,,,,,,,,,,green,green,g,yes,,,,,,108.8656,109.7484,g,1,0.485199997,,0,23,23,23,1,,,,,
,,,,,A05PRESH,001,2024-10-20_11h57.59.848,strooptdcs,2024.2.1,MacIntel,59.88023952,,,,,,,,,,,blue,blue,b,yes,,,,,,109.7496,111.5151,b,1,1.378799995,,0,24,24,24,1,,,,,
,,,,,A05PRESH,001,2024-10-20_11h57.59.848,strooptdcs,2024.2.1,MacIntel,59.88023952,,,,,,,,,,,blue,green,g,no,,,,,,111.5157,112.3971,b,0,0.484900002,,0,25,25,25,1,,,,,
,,,,,A05PRESH,001,2024-10-20_11h57.59.848,strooptdcs,2024.2.1,MacIntel,59.88023952,,,,,,,,,,,yellow,red,r,no,,,,,,112.3979,115.0484,r,1,2.262,,0,26,26,26,1,,,,,
,,,,,A05PRESH,001,2024-10-20_11h57.59.848,strooptdcs,2024.2.1,MacIntel,59.88023952,,,,,,,,,,,blue,blue,b,yes,,,,,,115.0497,117.4986,b,1,2.051899994,,0,27,27,27,1,,,,,
,,,,,A05PRESH,001,2024-10-20_11h57.59.848,strooptdcs,2024.2.1,MacIntel,59.88023952,,,,,,,,,,,yellow,yellow,y,yes,,,,,,117.5,118.882,y,1,0.983599998,,0,28,28,28,1,,,,,
,,,,,A05PRESH,001,2024-10-20_11h57.59.848,strooptdcs,2024.2.1,MacIntel,59.88023952,,,,,,,,,,,red,yellow,y,no,,,,,,118.8834,120.5988,y,1,1.315900002,,0,29,29,29,1,,,,,
,,,,,A05PRESH,001,2024-10-20_11h57.59.848,strooptdcs,2024.2.1,MacIntel,59.88023952,,,,,,,,,,,yellow,yellow,y,yes,,,,,,120.5998,121.5654,y,1,0.567900002,,0,30,30,30,1,,,,,
,,,,,A05PRESH,001,2024-10-20_11h57.59.848,strooptdcs,2024.2.1,MacIntel,59.88023952,,,,,,,,,,,green,blue,b,no,,,,,,121.5668,124.6989,b,1,2.7465,,0,31,31,31,1,,,,,
,,,,,A05PRESH,001,2024-10-20_11h57.59.848,strooptdcs,2024.2.1,MacIntel,59.88023952,,,,,,,,,,,green,green,g,yes,,,,,,124.6994,125.9979,g,1,0.902199997,,0,32,32,32,1,,,,,
,,,,,A05PRESH,001,2024-10-20_11h57.59.848,strooptdcs,2024.2.1,MacIntel,59.88023952,,,,,,,,,,,red,green,g,no,,,,,,125.9991,127.4647,g,1,1.069099998,,0,33,33,33,1,,,,,
,,,,,A05PRESH,001,2024-10-20_11h57.59.848,strooptdcs,2024.2.1,MacIntel,59.88023952,,,,,,,,,,,blue,yellow,y,no,,,,,,127.4659,129.2985,y,1,1.437,,0,34,34,34,1,,,,,
,,,,,A05PRESH,001,2024-10-20_11h57.59.848,strooptdcs,2024.2.1,MacIntel,59.88023952,,,,,,,,,,,red,blue,b,no,,,,,,129.3,130.9648,b,1,1.278099998,,0,35,35,35,1,,,,,
,,,,,A05PRESH,001,2024-10-20_11h57.59.848,strooptdcs,2024.2.1,MacIntel,59.88023952,,,,,,,,,,,red,green,g,no,,,,,,130.9654,132.3325,g,1,0.967300003,,0,36,36,36,1,,,,,
,,,,,A05PRESH,001,2024-10-20_11h57.59.848,strooptdcs,2024.2.1,MacIntel,59.88023952,,,,,,,,,,,green,red,r,no,,,,,,132.3334,134.2326,r,1,1.511,,0,37,37,37,1,,,,,
,,,,,A05PRESH,001,2024-10-20_11h57.59.848,strooptdcs,2024.2.1,MacIntel,59.88023952,,,,,,,,,,,red,red,r,yes,,,,,,134.2335,135.2992,r,1,0.668200005,,0,38,38,38,1,,,,,
,,,,,A05PRESH,001,2024-10-20_11h57.59.848,strooptdcs,2024.2.1,MacIntel,59.88023952,,,,,,,,,,,blue,blue,b,yes,,,,,,135.3004,137.9989,b,1,2.300799995,,0,39,39,39,1,,,,,
,,,,,A05PRESH,001,2024-10-20_11h57.59.848,strooptdcs,2024.2.1,MacIntel,59.88023952,,,,,,,,,,,green,green,g,yes,,,,,,138,139.3161,g,1,0.917599998,,0,40,40,40,1,,,,,
,,,,,A05PRESH,001,2024-10-20_11h57.59.848,strooptdcs,2024.2.1,MacIntel,59.88023952,,,,,,,,,,,green,yellow,y,no,,,,,,139.3166,141.2156,y,1,1.511900002,,0,41,41,41,1,,,,,
,,,,,A05PRESH,001,2024-10-20_11h57.59.848,strooptdcs,2024.2.1,MacIntel,59.88023952,,,,,,,,,,,yellow,yellow,y,yes,,,,,,141.2168,142.2828,y,1,0.678200005,,0,42,42,42,1,,,,,
,,,,,A05PRESH,001,2024-10-20_11h57.59.848,strooptdcs,2024.2.1,MacIntel,59.88023952,,,,,,,,,,,yellow,yellow,y,yes,,,,,,142.2833,143.0162,y,1,0.334100006,,0,43,43,43,1,,,,,
,,,,,A05PRESH,001,2024-10-20_11h57.59.848,strooptdcs,2024.2.1,MacIntel,59.88023952,,,,,,,,,,,blue,blue,b,yes,,,,,,143.0173,144.4497,b,1,1.037699997,,0,44,44,44,1,,,,,
,,,,,A05PRESH,001,2024-10-20_11h57.59.848,strooptdcs,2024.2.1,MacIntel,59.88023952,,,,,,,,,,,yellow,red,r,no,,,,,,144.4508,145.7163,r,1,0.867099998,,0,45,45,45,1,,,,,
,,,,,A05PRESH,001,2024-10-20_11h57.59.848,strooptdcs,2024.2.1,MacIntel,59.88023952,,,,,,,,,,,green,yellow,y,no,,,,,,145.7174,147.2164,y,1,1.100599998,,0,46,46,46,1,,,,,
,,,,,A05PRESH,001,2024-10-20_11h57.59.848,strooptdcs,2024.2.1,MacIntel,59.88023952,,,,,,,,,,,red,red,r,yes,,,,,,147.2176,148.183,r,1,0.577599998,,0,47,47,47,1,,,,,
