instruct.started,instruct.stopped,key_resp_instr.keys,key_resp_instr.rt,key_resp_instr.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,practice.started,practice.stopped,practicetrialskeys.keys,practicetrialskeys.rt,practicetrialskeys.duration,practicetrialss.thisRepN,practicetrialss.thisTrialN,practicetrialss.thisN,practicetrialss.thisIndex,practicetrialss.ran,text,letterColor,corrAns,congruent,RUready.started,RUready.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trials.started,trials.stopped,key_resp_trials.keys,key_resp_trials.corr,key_resp_trials.rt,key_resp_trials.duration,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,thanks.started,thanks.stopped,key_resp.keys,key_resp.rt,key_resp.duration
0.000300003,16.5449,y,15.5161,,B13PRETR,001,2025-02-18_17h03.42.305,strooptdcs,2024.2.1,MacIntel,57.80346821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,B13PRETR,001,2025-02-18_17h03.42.305,strooptdcs,2024.2.1,MacIntel,57.80346821,16.5625,18.0957,y,1.099899994,,0,0,0,0,1,yellow,yellow,y,yes,,,,,,,,,,,,,,,,,,,,,
,,,,,B13PRETR,001,2025-02-18_17h03.42.305,strooptdcs,2024.2.1,MacIntel,57.80346821,18.0973,20.6288,b,2.096400002,,0,1,1,1,1,green,blue,b,no,,,,,,,,,,,,,,,,,,,,,
,,,,,B13PRETR,001,2025-02-18_17h03.42.305,strooptdcs,2024.2.1,MacIntel,57.80346821,20.6295,25.0455,g,3.9915,,0,2,2,2,1,green,green,g,yes,,,,,,,,,,,,,,,,,,,,,
,,,,,B13PRETR,001,2025-02-18_17h03.42.305,strooptdcs,2024.2.1,MacIntel,57.80346821,25.047,26.9124,g,1.430200005,,0,3,3,3,1,red,green,g,no,,,,,,,,,,,,,,,,,,,,,
,,,,,B13PRETR,001,2025-02-18_17h03.42.305,strooptdcs,2024.2.1,MacIntel,57.80346821,26.91410001,28.7279,y,1.3795,,0,4,4,4,1,blue,yellow,y,no,,,,,,,,,,,,,,,,,,,,,
,,,,,B13PRETR,001,2025-02-18_17h03.42.305,strooptdcs,2024.2.1,MacIntel,57.80346821,,,,,,,,,,,,,,,28.7284,34.0295,y,4.186199997,,,,,,,,,,,,,,,,,
,,,,,B13PRETR,001,2025-02-18_17h03.42.305,strooptdcs,2024.2.1,MacIntel,57.80346821,,,,,,,,,,,red,red,r,yes,,,,,,34.04260001,36.413,r,1,1.978599998,,0,0,0,0,1,,,,,
,,,,,B13PRETR,001,2025-02-18_17h03.42.305,strooptdcs,2024.2.1,MacIntel,57.80346821,,,,,,,,,,,blue,blue,b,yes,,,,,,36.41460001,38.1459,b,1,1.337099998,,0,1,1,1,1,,,,,
,,,,,B13PRETR,001,2025-02-18_17h03.42.305,strooptdcs,2024.2.1,MacIntel,57.80346821,,,,,,,,,,,yellow,green,g,no,,,,,,38.1473,39.8627,g,1,1.322199997,,0,2,2,2,1,,,,,
,,,,,B13PRETR,001,2025-02-18_17h03.42.305,strooptdcs,2024.2.1,MacIntel,57.80346821,,,,,,,,,,,blue,green,g,no,,,,,,39.8637,41.4793,g,1,1.2175,,0,3,3,3,1,,,,,
,,,,,B13PRETR,001,2025-02-18_17h03.42.305,strooptdcs,2024.2.1,MacIntel,57.80346821,,,,,,,,,,,green,green,g,yes,,,,,,41.4807,45.82960001,g,1,3.950800003,,0,4,4,4,1,,,,,
,,,,,B13PRETR,001,2025-02-18_17h03.42.305,strooptdcs,2024.2.1,MacIntel,57.80346821,,,,,,,,,,,blue,red,r,no,,,,,,45.831,47.3963,r,1,1.166699997,,0,5,5,5,1,,,,,
,,,,,B13PRETR,001,2025-02-18_17h03.42.305,strooptdcs,2024.2.1,MacIntel,57.80346821,,,,,,,,,,,yellow,green,g,no,,,,,,47.3975,49.9463,g,1,2.150299995,,0,6,6,6,1,,,,,
,,,,,B13PRETR,001,2025-02-18_17h03.42.305,strooptdcs,2024.2.1,MacIntel,57.80346821,,,,,,,,,,,blue,green,g,no,,,,,,49.9475,52.3797,g,1,2.0345,,0,7,7,7,1,,,,,
,,,,,B13PRETR,001,2025-02-18_17h03.42.305,strooptdcs,2024.2.1,MacIntel,57.80346821,,,,,,,,,,,green,green,g,yes,,,,,,52.3808,54.0799,g,1,1.303799995,,0,8,8,8,1,,,,,
,,,,,B13PRETR,001,2025-02-18_17h03.42.305,strooptdcs,2024.2.1,MacIntel,57.80346821,,,,,,,,,,,yellow,yellow,y,yes,,,,,,54.0812,55.5623,y,1,1.084699997,,0,9,9,9,1,,,,,
,,,,,B13PRETR,001,2025-02-18_17h03.42.305,strooptdcs,2024.2.1,MacIntel,57.80346821,,,,,,,,,,,yellow,yellow,y,yes,,,,,,55.563,56.6632,y,1,0.701300003,,0,10,10,10,1,,,,,
,,,,,B13PRETR,001,2025-02-18_17h03.42.305,strooptdcs,2024.2.1,MacIntel,57.80346821,,,,,,,,,,,green,green,g,yes,,,,,,56.66410001,57.8469,g,1,0.796400002,,0,11,11,11,1,,,,,
,,,,,B13PRETR,001,2025-02-18_17h03.42.305,strooptdcs,2024.2.1,MacIntel,57.80346821,,,,,,,,,,,yellow,blue,b,no,,,,,,57.8479,59.3135,b,1,1.070699997,,0,12,12,12,1,,,,,
,,,,,B13PRETR,001,2025-02-18_17h03.42.305,strooptdcs,2024.2.1,MacIntel,57.80346821,,,,,,,,,,,green,red,r,no,,,,,,59.31460001,61.9965,r,1,2.293399994,,0,13,13,13,1,,,,,
,,,,,B13PRETR,001,2025-02-18_17h03.42.305,strooptdcs,2024.2.1,MacIntel,57.80346821,,,,,,,,,,,red,red,r,yes,,,,,,61.9974,63.2635,r,1,0.8795,,0,14,14,14,1,,,,,
,,,,,B13PRETR,001,2025-02-18_17h03.42.305,strooptdcs,2024.2.1,MacIntel,57.80346821,,,,,,,,,,,blue,blue,b,yes,,,,,,63.2648,64.8967,b,1,1.244,,0,15,15,15,1,,,,,
,,,,,B13PRETR,001,2025-02-18_17h03.42.305,strooptdcs,2024.2.1,MacIntel,57.80346821,,,,,,,,,,,red,yellow,y,no,,,,,,64.8975,66.4634,y,1,1.1775,,0,16,16,16,1,,,,,
,,,,,B13PRETR,001,2025-02-18_17h03.42.305,strooptdcs,2024.2.1,MacIntel,57.80346821,,,,,,,,,,,red,yellow,y,no,,,,,,66.4637,67.5633,y,1,0.699699997,,0,17,17,17,1,,,,,
